"Group.1" "Group.2" "V1" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()"
1 1 1 0.274613209684211 -0.0180444796391789 -0.109301635126316 -0.312522000271579 -0.0162711587593684 -0.18577291992 0.916841026421053 -0.209173910947368 -0.0596464876552526 -0.975758272736842 -0.965106874210526 -0.948440791052632 0.0747014850350526 0.0110810289915789 0.00909876480105263 -0.284791869644211 -0.112827367874737 -0.417006090642105 -0.0353525919251579 -0.0633665929494737 0.0835811952494737 -0.456258821136842 -0.279612317607368 -0.324010342155789 -0.0984787388503158 -0.0595889579505263 -0.0560388520088421 -0.348173999481053 -0.457870628430526 -0.446387747284211 -0.147876362930526 -0.304224534016316 -0.147876362930526 -0.304224534016316 -0.235577645842105 -0.203163533748842 -0.238494048315789 -0.308019128374737 -0.426323535013684 -0.440664027356842 -0.306669130707368 -0.0402227226442105 -0.271547204247684 -0.316492988294737 -0.0681224375073684 -0.205705933560947 -0.327819688388 -0.170155343787368 -0.385231714821053 -0.30443336508 -0.110658897219053 -0.447744948617895 -0.337155811957895 -0.326648655992632 -0.302877238307368 -0.496247102597895 -0.261824430682105 -0.394946556442105 -0.247073962925263 -0.448374924947368 -0.202001543189053 -0.212255552996842 -0.346071730903895 -0.403421150578947
2 1 1 0.275394931320755 -0.00962067429924528 -0.101790120339623 -0.360553469396226 -0.032250585324717 -0.222948894752264 0.908737593584906 -0.245497677886792 -0.085395238045283 -0.975786120754717 -0.961038977169811 -0.957632362264151 0.113338370186792 0.00661512603962264 -0.0205247048830189 -0.298465632339623 -0.107267940539623 -0.469630555283019 0.00995919199849057 -0.0993401897830189 0.0918557360754717 -0.492904273471698 -0.350674240358491 -0.321651373566038 -0.127208362867925 -0.0443780159245283 -0.0826928520792453 -0.363005855320755 -0.510394383396226 -0.464845019245283 -0.189088270124528 -0.347939320943396 -0.189088270124528 -0.347939320943396 -0.264656997496226 -0.20798190445283 -0.294263884283019 -0.36428487754717 -0.463454652584906 -0.487984342830189 -0.340645622132075 -0.054406232690566 -0.329454062773585 -0.369673645849057 -0.0837554548981132 -0.229493648881132 -0.334471311118868 -0.177077203235283 -0.442098410575472 -0.323921548792453 -0.090930463064151 -0.495952916849057 -0.360013109433962 -0.39879941 -0.302939182358491 -0.536271959754717 -0.330349729956415 -0.392146149056604 -0.297186140681132 -0.481269326603774 -0.224066240150943 -0.195274214128302 -0.398232914056604 -0.453761583358491
3 1 1 0.273695896326531 -0.0145357449304082 -0.10931768144898 -0.291131006367347 0.00435451259183674 -0.214214597142857 0.924352402857143 -0.224942276530612 -0.107664035364837 -0.976135332040816 -0.967018720816327 -0.947373827755102 0.0642972414385714 0.0383180986632653 -0.0055731074367347 -0.254692088265306 -0.0762497429591837 -0.42662101455102 -0.0362748580714286 -0.0575861091204082 0.0644873935938775 -0.437419044818367 -0.275837193979592 -0.296536424408163 -0.130804896230061 -0.0447860506346939 -0.0373972741367347 -0.341605015530612 -0.453749922569388 -0.435756359038776 -0.135835937995918 -0.29186679255102 -0.135835937995918 -0.29186679255102 -0.217652645814286 -0.173797578844898 -0.207000235163265 -0.305445556659184 -0.421930960430612 -0.438798567 -0.290223229387755 -0.0184071708571429 -0.291977119469388 -0.292584034577551 -0.0485654980204082 -0.236508342308163 -0.298835222959184 -0.134140248893878 -0.395895436428571 -0.275620377530612 -0.0759533154081633 -0.456022448571429 -0.315809986 -0.332596566062653 -0.278219569755102 -0.477942731061224 -0.252045334769388 -0.369674521306122 -0.226239748518367 -0.442930546530612 -0.172029916069796 -0.182954225636735 -0.348768123942857 -0.397454694285714
4 1 1 0.279525864042553 -0.0194797302853191 -0.102794017765957 -0.302900006768085 0.0693218417276596 -0.275205978744681 0.92352443893617 -0.224906247085106 -0.0723207376382979 -0.97900685893617 -0.96618125106383 -0.962103967234043 0.0966778458234043 -0.0341235729468085 -0.0344568747510638 -0.251341844276596 -0.0533469324042553 -0.467204520042553 -0.0218449810444681 -0.0870836446042553 0.0855577321848936 -0.458006993617021 -0.344222915520213 -0.305331438212766 -0.0342978635319149 -0.0378804613425532 -0.0833958939787234 -0.327321761702128 -0.522009331489362 -0.362115627255319 -0.137001917021277 -0.307219838485106 -0.137001917021277 -0.307219838485106 -0.211846141446809 -0.199537848255319 -0.268806325 -0.377223752276596 -0.429420563574468 -0.503291424106383 -0.297902825531915 0.0234646819787234 -0.340234828808511 -0.306963760510638 0.0242235435765957 -0.300199722531915 -0.306890270595745 -0.134535815702128 -0.440841990851064 -0.261852066148936 -0.0282364792361702 -0.493063672553192 -0.305583307255319 -0.384922910893617 -0.259080862234043 -0.507846747021277 -0.32797005003617 -0.387467955978723 -0.26765675093617 -0.439638735106383 -0.207270885385106 -0.196904147328936 -0.410915835468085 -0.464159850553191
5 1 1 0.283407452075472 -0.0167664984490566 -0.11063535090566 -0.302085064754717 0.0397551935 -0.154818414113208 0.925122170566038 -0.230608144528302 -0.0926178118198113 -0.976414637735849 -0.964768525471698 -0.960106287924528 0.0812675267188679 0.0216201544584906 -0.00713661659245283 -0.238362551486604 -0.0140530991433962 -0.357736906975472 -0.0218440910773585 -0.0797753931849057 0.0734234024886792 -0.453131133207547 -0.258946438381132 -0.308057989081132 -0.0969170533396226 -0.0261520423356604 -0.0220173857207547 -0.230155676307547 -0.350351158207547 -0.367778062188679 -0.125376869924906 -0.260097034660377 -0.125376869924906 -0.260097034660377 -0.180527332826415 -0.0990988190603774 -0.240369660792453 -0.28083190609434 -0.341155741207547 -0.303888752886792 -0.277275240535849 0.0183268495169811 -0.223596566013208 -0.313980016 -0.0162529037301887 -0.186877758245283 -0.278703846981132 -0.100374528346604 -0.320509688683019 -0.264989163528302 0.0139635711679245 -0.393626114 -0.278851156056604 -0.265370790369811 -0.248341466050943 -0.510519519622642 -0.265278255818868 -0.395424302075472 -0.210947677003774 -0.405702049245283 -0.11785061778717 -0.0839188518301887 -0.281705135581132 -0.410175961679245
6 1 1 0.2852183698 -0.018166933375 -0.12161923218 -0.257876795072 0.044715756266 -0.2283762271 0.938648227 -0.2194019461 -0.04813336284 -0.9762224934 -0.9648506668 -0.9420752272 0.05029717022 0.030598630762 -0.0090016335 -0.203390169736 -0.023525470678 -0.3807985002 -0.058414179122 -0.067555223414 0.087575369656 -0.40454049738 -0.26858116024 -0.280216549848 -0.106701523288 -0.017146899878 -0.0738634728 -0.2670497338 -0.41523701212 -0.3486641948 -0.112033604344 -0.265203532704 -0.112033604344 -0.265203532704 -0.162545795108 -0.12618899709 -0.19594914662 -0.270929219992 -0.358067093616 -0.39447980752 -0.245765722278 0.02192838653 -0.27069131292 -0.264118139346 -0.010715207458 -0.26921578004 -0.248788557092 -0.097763725258 -0.355901169816 -0.22739330772 -0.008258170792 -0.4046107315938 -0.24300063404 -0.30345572678 -0.229252688122 -0.4575176665 -0.25556265106 -0.36592422298 -0.187936845222 -0.4293863878 -0.120259681708 -0.141852195486 -0.295944195044 -0.38263387858
1 2 5 0.280094223050847 -0.0163724356779661 -0.104779018288136 -0.990733578983051 -0.947411178813559 -0.958165696610169 0.958168409830508 -0.195034184237288 0.057017639979661 -0.991823553898305 -0.974949909661017 -0.969802905932203 0.075125199440678 0.0124995844925424 -0.00480384534152542 -0.986705833559322 -0.972663087966102 -0.984932269661017 -0.0266636275779661 -0.0625098157372881 0.0758187114050847 -0.970111234067797 -0.973930171864407 -0.967999047627119 -0.0984761236271186 -0.0436768547966102 -0.0530951152711864 -0.97989383440678 -0.987370564915254 -0.979668414237288 -0.968553272033898 -0.96345912779661 -0.968553272033898 -0.96345912779661 -0.983451807457627 -0.980773590677966 -0.960799165932203 -0.960320928135593 -0.985683104745763 -0.984166379322034 -0.988947265084746 -0.955290768983051 -0.971449800338983 -0.99164067779661 -0.946239218983051 -0.954117245084746 -0.986991251525424 -0.973062437288136 -0.982835030338983 -0.987595494915254 -0.974225458813559 -0.985568974745763 -0.968497379491525 -0.977024885762712 -0.967771885084746 -0.970924651016949 -0.972379595932203 -0.971130291694915 -0.969066316779661 -0.965435316610169 -0.980155153559322 -0.98051355779661 -0.96965758661017 -0.961275734067797
2 2 5 0.277406582708333 -0.0184492060733333 -0.1121074701875 -0.988851056875 -0.943609661875 -0.945556660625 0.947538058958333 -0.1713157930625 -0.0600114336179167 -0.992697275 -0.977953972291667 -0.961070190416667 0.0750007055416667 0.010375556770625 -0.00533066473666667 -0.9853352575 -0.963870242916667 -0.980752783541667 -0.0255262414770833 -0.0651255355979167 0.0861985285833333 -0.951116845625 -0.966788906041667 -0.967221595208333 -0.1001239285 -0.0411701720833333 -0.0553823724729167 -0.965451637291667 -0.982376693125 -0.980262515416667 -0.961838961041667 -0.95973772625 -0.961838961041667 -0.95973772625 -0.978550649166667 -0.975842286041667 -0.950858790208333 -0.944244078125 -0.979206473333333 -0.9768429225 -0.986706959375 -0.95052824 -0.963106660833333 -0.989852023541667 -0.942995909375 -0.940625446041667 -0.985417227291667 -0.965167161875 -0.977972560416667 -0.986606145 -0.965063283541667 -0.982122716041667 -0.947143250833333 -0.970095363125 -0.967103840833333 -0.95295958875 -0.965210581041667 -0.970363196041667 -0.965833934375 -0.962060750833333 -0.975337393333333 -0.975416421875 -0.956013350416667 -0.946392628541667
3 2 5 0.278660885744681 -0.0153620477191489 -0.107840338468085 -0.984492215531915 -0.923340673191489 -0.941116513191489 0.922758341489362 -0.283184465361702 0.0327802547653192 -0.991797936170213 -0.976654719787234 -0.966035129361702 0.0758071403829787 0.0115445766865957 -0.00473281641659574 -0.980497996808511 -0.960222302765957 -0.977687758297872 -0.0362682130553191 -0.079178411106383 0.0905527790851064 -0.925534309574468 -0.95607037787234 -0.950043575957447 -0.100192757382979 -0.0401638225531915 -0.0530307880610638 -0.961339572978723 -0.979051293404255 -0.972844754680851 -0.954720682765957 -0.945211458085106 -0.954720682765957 -0.945211458085106 -0.975748090638298 -0.969254645106383 -0.930093870425532 -0.904844546595745 -0.976310826808511 -0.970438084893617 -0.981962590212766 -0.934544684680851 -0.956787649787234 -0.985662422553191 -0.92194669787234 -0.937200282553191 -0.980791967234042 -0.960352965531915 -0.97429047787234 -0.981996868510638 -0.963176720638298 -0.979713294255319 -0.926434165319149 -0.961879261489362 -0.95229120106383 -0.926846400425532 -0.953309844893617 -0.953939853404255 -0.953292427234043 -0.94870957 -0.968698253191489 -0.969027132978723 -0.932541595531915 -0.905064050638298
4 2 5 0.277544927826087 -0.0194333198913043 -0.105197387608696 -0.972996401086957 -0.904240542391304 -0.888490530586956 0.946114052608696 -0.23022808326087 0.0653101996847826 -0.97785026673913 -0.955518257391304 -0.906545788043478 0.0794206953043478 0.00779518950471739 -0.0171099253913043 -0.962811366956522 -0.946358921956522 -0.972026346521739 -0.0243589736552174 -0.0707976438043478 0.0646408224347826 -0.884117260869565 -0.927793155217391 -0.941235826086957 -0.0971294880543478 -0.0397287728413043 -0.0491934025847826 -0.950117013478261 -0.964330612391304 -0.965790630652174 -0.920117473043478 -0.905858018695652 -0.920117473043478 -0.905858018695652 -0.963830589130435 -0.951170120869565 -0.880413763043478 -0.842461757608696 -0.964665005 -0.95190741673913 -0.965798572391304 -0.918415828695652 -0.928990316304348 -0.976921228695652 -0.903496197608696 -0.878053933695652 -0.962330934347826 -0.946298585 -0.966787468043478 -0.966899952608696 -0.950499900652174 -0.97617030173913 -0.884126518478261 -0.936376865869565 -0.941892236304348 -0.886340073478261 -0.924083293478261 -0.94664603673913 -0.92342689 -0.912063565652174 -0.950174021304348 -0.951700389130435 -0.891748467608696 -0.841784815217391
